Transaction_ID,Date,Customer_ID,Product_Category,Quantity,Unit_Price,Shipping_Cost,Delivery_Status,Customer_Rating,Region,Total_Sales
1001,2026-01-01 00:00:00,CUST-202,Beauty,1,281.24,13.66,Delivered,4.0,Europe,281.24
1002,2026-01-01 01:00:00,CUST-535,Clothing,1,454.56,25.55,Delivered,4.0,South America,454.56
1003,2026-01-01 02:00:00,CUST-960,Electronics,1,316.05,5.94,Delivered,5.0,South America,316.05
1004,2026-01-01 03:00:00,CUST-370,Electronics,1,158.34,12.02,Delivered,5.0,North America,158.34
1005,2026-01-01 04:00:00,CUST-206,Electronics,1,155.09,40.17,Delivered,3.0,Europe,155.09
1006,2026-01-01 05:00:00,CUST-171,Home Decor,2,255.77,39.3,Cancelled,5.0,Asia,511.54
1007,2026-01-01 06:00:00,CUST-800,Electronics,1,434.64,40.54,Delivered,5.0,North America,434.64
1008,2026-01-01 07:00:00,CUST-120,Home Decor,2,399.42,46.47,Delivered,4.0,South America,798.84
1009,2026-01-01 08:00:00,CUST-714,Clothing,2,481.74,10.36,Shipped,5.0,Asia,963.48
1010,2026-01-01 09:00:00,CUST-221,Electronics,1,45.22,12.34,Cancelled,5.0,South America,45.22
1011,2026-01-01 10:00:00,CUST-566,Beauty,2,141.48,20.01,Delivered,3.0,North America,282.96
1012,2026-01-01 11:00:00,CUST-314,Clothing,1,49.3,46.18,Delivered,,Europe,49.3
1013,2026-01-01 12:00:00,CUST-430,Electronics,4,378.03,39.9,Delivered,4.0,Asia,1512.12
1014,2026-01-01 13:00:00,CUST-558,Beauty,1,79.01,19.59,Delivered,3.0,North America,79.01
1015,2026-01-01 14:00:00,CUST-187,Electronics,2,58.94,8.94,Shipped,4.0,North America,117.88
1016,2026-01-01 15:00:00,CUST-472,Home Decor,3,285.22,32.74,Delivered,5.0,Asia,855.66
1017,2026-01-01 16:00:00,CUST-199,Beauty,1,211.63,16.56,Delivered,5.0,Europe,211.63
1018,2026-01-01 17:00:00,CUST-971,Clothing,1,360.4,28.9,Shipped,4.0,South America,360.4
1019,2026-01-01 18:00:00,CUST-763,Beauty,2,248.64,47.38,Delivered,4.0,Asia,497.28
1020,2026-01-01 19:00:00,CUST-230,Clothing,1,218.41,30.77,Cancelled,5.0,North America,218.41
1021,2026-01-01 20:00:00,CUST-761,Clothing,3,218.5,46.57,Returned,4.0,Asia,655.5
1022,2026-01-01 21:00:00,CUST-408,Electronics,5,437.22,22.69,Delivered,5.0,Asia,2186.1
1023,2026-01-01 22:00:00,CUST-869,Electronics,1,203.66,33.5,Delivered,,Europe,203.66
1024,2026-01-01 23:00:00,CUST-443,Books,1,173.36,45.23,Delivered,5.0,Europe,173.36
1025,2026-01-02 00:00:00,CUST-591,Clothing,1,175.88,31.46,Cancelled,5.0,South America,175.88
1026,2026-01-02 01:00:00,CUST-513,Clothing,1,106.33,32.67,Returned,4.0,Asia,106.33
1027,2026-01-02 02:00:00,CUST-905,Clothing,3,431.74,37.23,Delivered,2.0,Europe,1295.22
1028,2026-01-02 03:00:00,CUST-485,Home Decor,3,81.85,44.69,Delivered,5.0,Europe,245.55
1029,2026-01-02 04:00:00,CUST-291,Electronics,1,455.22,8.97,Delivered,5.0,North America,455.22
1030,2026-01-02 05:00:00,CUST-376,Clothing,1,148.9,20.16,Delivered,2.0,Europe,148.9
